Genre,TrackCount
"french hip hop, pop urbaine, r&b francais, rap francais",233
hip hop tuga,233
"agronejo, arrocha, sertanejo, sertanejo universitario",232
"reggaeton, reggaeton colombiano, trap latino, urbano latino",232
"german cloud rap, german hip hop",232
"reggaeton, trap latino",230
"swedish drill, swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",230
malaysian pop,230
punk,224
finnish pop,217
"pop, hip hop, spanish, latin, english, reggaeton, latin urban, latin trap, trap latino, reggaeton, trap latino, latin, urbano latino",216
punjabi pop,215
"2010s, 2020s, 3rd gen k-pop, boy band, boy group, corean, english, fixme label mess, k-pop, korean, pop, pop punk, teen pop",212
t-pop,206
"hip hop tuga, trap tuga",206
"hip hop, rap",205
"make. ffs!, apparently people are unable to comprehend what various artists is, pavarotti, desperado, grase, 101 moments in music, greatest ever! punk & new wave: the definitive collection, los 24 grandes exitos de la zarzuela, volkstumliche musik, papeete, 2014, fix, zweiohr, likedis auto, ultimatecore, a crooner collection, lil eazy-e, virginia beach, http:",202
doom,202
"hardcore band from virginia beach, active 1998-2002. emerging from the tidewater crust‐punk",202
"skate scene, the group combined punk urgency and hardcore aggression with downtuned sludge heaviness and doom atmosphere. their raw, abrasive sound placed them firmly within the late‐1990s",202
"early‐2000s underground, while maintaining a distinctly punk ethos. the band’s definitive release is discography (this dark reign recordings, tdr‐13, usa), which compiles studio material from 1999-2002. tracks were originally issued (or intended) across several small‐label documents: “before you",202
"fallen”-acrude records (crude‐01, france), 7′′ single. because sometimes two are better than one-split with fistula, shifty records (sh09, 3′′ cd. south of hell-14 songs from the new south-berserker records (ber‐005, compilation. crushers killers destroyers!-shifty records (sh08, compilation. doomed-this dark reign recordings (tdr‐001, compilation. mugwart performed throughout virginia and the surrounding region, sharing stages with grief, damad, fistula, sofa king killer, and clutch. in 2011, uk extreme‐metal band dragged into sunlight selected mugwart’s track “fallen” for a curated mixtape in terrorizer magazine (issue #285), highlighting the group’s ongoing resonance nearly a decade after disbanding. legacy: though short‐lived, mugwart is regarded as a cult, foundational act of the virginia sludge",202
"v-pop, vietnamese hip hop",201
"2000s, 2010s, american, antisemite, art pop, chipmunk soul, christian hip hop, conscious hip hop, electropop, english, experimental hip hop, fascist, gospel, grammy winner, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, luxury rap, nazi, pop, pop rap, pro trump, producer, progressive rap, rap, rapper, relic inn, southern hip hop, synthpop, trap, us",200
"finnish dance pop, finnish pop, iskelma, suomi rock",199
"mandopop, taiwan singer-songwriter",198
"albanian hip hop, german hip hop",195
"russian drill, russian hip hop, russian trap",194
"atl hip hop, hip hop, rap, southern hip hop, trap",192
panamanian pop,192
"make, dont rate the va artist, dont rate the va artist ffs what, dont tag or rate the various artist, dont tag the va artist, dont tag the va artist wtf, dont use this for artist credits you are to lazy to look-up",191
"make, stop using this for artist credits you are to lazy to look-up",191
"make. ffs!, stop using this for artist credits you are to lazy to look-up",191
"not *every* artist, various artists, venezolana, vera kaa, visions, volkstumliche musik, we ll never stop living this way a ghostly primer, why are you downvoting the mess tag? it is a mess!, why are you voting down tags that explain stuff, wireharp, world, you *should* fix your tags, you do realise that every time you downvote a fixme-tag below 0 i unvote it and that tag now permanently stays in the expanded list?, z103 5 street mix 2k7, zero t 51, zweiohr, ƒk₷m€, мелодии рождества, fixme, 嫌われ松子の歌たち",191
israeli mediterranean,191
"reggaeton, trap latino, urbano latino, latin",188
"arabic hip hop, moroccan pop, moroccan rap",186
"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",185
"arabic hip hop, rap maroc",185
"arab pop, egyptian pop",180
"french hip hop, pop urbaine, rap francais, rap marseille",177
portuguese hip hop,177
"cantopop, hk-pop",176
"latin, reggaeton",175
"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",174
"french hip hop, pop urbaine, rap conscient, rap francais",173
"art pop, pop",172
"kolumbien, spanish, columbia, pop, spanisch, latin urban, hip hop, latin pop, rnb, reggaeton, latin",171
"mandopop, taiwan pop",170
norwegian pop rap,169
r&b,168
dembow dominicano,168
"bollywood, desi, film composer, filmi, hindi pop, sufi",168
"arrocha, sertanejo, sertanejo universitario",167
country,166
romanian pop,166
estonian pop,166
"egyptian pop, khaleeji",165
k-pop girl group,164
"v-pop, vietnamese hip hop, vietnamese melodic rap",163
russian hip hop,161
"rock, trance, electronic, soundtrack, classical, pop, special purpose artist, jungle, fixme, instrumental, chillout, ambient, rap, jazz, folk, punk, metal, meta artist, blues, punk rock, ska, pop-rock, experimental, new wave, electro, hip hop, bluegrass, 2002, reggae, rockabilly, country, 2004, world, tango, goth, opera, fusion, indie, kpop, compilation, new age, eurodance, psytrance, lounge, blues rock, country rock, classic, fix me, christmas, folklore, 1990s, 2000s, soft rock, rock and roll, progressive trance, popular, latin, musical, psychobilly, live, drum bass, club, chicago, choral, meditation, japan, virginia, ost, basque, 2000, 2001, espanol, mashup, candombe, beethoven, michael jackson, trikitixa, ultimate love songs greatest love of all disc 1, orthodox, nederlands, calypso, ragga, alternative pop ballad club dance electro france chanson german trance hip-hop rnb rock music soul vocal house, unknown, va, full of fail tags, nox, wireharp, bareto, sprechgesang, mohsen namjoo, frederic chopin, klaus baumgart, mess, ibiza, musica, various artists, healing sixes, la grande sophie, berlin school, 嫌われ松子の歌たち, z103 5 street mix 2k7, john coltrane, binaural beats, hemi-sync, artist, venezolana, niroshima, nitzer ebb, bioshock soundtrack, shankar jaikishan, visions, gerard palaprat, local music of iran, mary j blige, bravo hits, fix your tags, infantil, razieq, rhythm del mundo, http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html, dresch, africa middle east, montuno, more 70, backstreet boys, classique, 80 s fresh new, ussr ministry of culture chamber choir, classwar karaoke, josquin, elc chritmas, futebol, gospel religious, various, armin van buuren, tags, kinderliedjes kapiteinwinokio humo, absolute reggae, hot hits, aggro berlin, celtic spirit vol 7, soul cargo, the welcome committee, es lebe der punk, aggro, mimicking birds, liturgic, miroque, tejano, devotional, alirio diaz, jucanto, educacion, liz, liz andrade, andrade, old skool of rock disc 1, vera kaa, sunshine, release, 1 16 217528 150 13231 25894 39556 62358 75112 86121 96491 108473 122788 134485 144086 155376 166189 186497 197822, marilyn manson, cobles, kinderchore, die drei, sonic seducer cold hands vi, andre powels, zero t 51, hillbilly, tunguska chillout grooves, birthday, label as artist, foreign language, andrew york, fjord, we ll never stop living this way a ghostly primer, fuzzy artist, shwetabh sucks, glass, dedicated to you vol 1, mega, piosenka poetycka muzyka autorska, adam beyer, billboard 1 hits, r&b, pzzqxnzt6snn ekrngheoblbupu-, dont rate the va artist ffs what, 50cents, breakout artists, stop using this for artist credits you are to lazy to look-up",160
"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",159
"gangsta rap, hip hop, pop rap, southern hip hop, trap",159
christmas,159
"kolumbien, spanish, columbia, pop, spanisch, latin urban, hip hop, latin pop, rnb, reggaeton, latin, reggaeton, latin",158
"south african hip hop, south african trap",158
"finnish hip hop, finnish trap",156
"cumbia, cuarteto",156
dutch pop,155
"greek drill, greek trap",155
icelandic hip hop,155
mahraganat,155
icelandic pop,154
ukrainian pop,154
"make, dresch, driven by 80s anthems, drum bass, educacion, elc chritmas, electro, electronic, es lebe der punk, espanol, eurodance, every-time you and others downvote. it registers in your tags. then i remove my vote. presto! youre the only one keeping it here!, experience the classics, experimental, f to the i to the x to the m to the e, faaaaaail, fail tags, failtags, fix, fix me, fix mess, fix tags, fix your tags, fixme, fix‌me, fjord, folk, folklore, foreign language, frederic chopin, full of fail tags, fusion, futebol, fuzzy artist, glass, gospel religious, goth, grase, greatest ever! punk & new wave: the definitive collection, groom to the gallows, gerard palaprat, has german audiobooks, healing sixes, hemi-sync, hillbilly, hip hop, hollywood hits, hot hits, http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html, http:",153
"trap latino, reggaeton",151
"dembow, rap dominicano, trap latino, urbano latino",151
"english, experimental hip hop, hip hop, pop rap, rap, relic inn, southern hip hop, trap, travis scott",149
"j-pop, j-rock",149
"2000s, 2010s, blacklist, abuser, american, anti vax, contemporary r&b, dance, dance-pop, electro house, electropop, hip hop, hip hop rnb and dance hall, hip-hop, misogynist, pop, pop rap, r&b, relic inn, rnb, trap, wifebeater, ya man aint me (produced by the.mp3",147
spanish pop,147
latvian hip hop,147
latvian pop,147
"manele, trap",147
"melodic rap, rap, trap",146
"make, [various artists], f to the i to the x to the m to the e, do not using this for artist credits, you do realise that every time you downvote a fixme-tag below 0 i unvote it and that tag now permanently stays in the expanded list?, kindly fix, kindly fixme, please rename to [various artists], dont tag or rate the various artist, lamb of god, ncs, 21 throwback jams, acoustic best, legion of von, my sharona, cdx, 5099265803, experience the classics, absolute voices, ƒk₷m€, fixme, oldest artist rowid, fix‌me, bring up on-par with the other spas and put this in brackets, i give up on the immature people in the tags here., please consider not using this for artist credits, m‌ess, number 1, driven by 80s anthems, to the guy that keeps downvoting *every* tag on the va artist, every-time you and others downvote. it registers in your tags. then i remove my vote. presto! youre the only one keeping it here!, put in brackets, hollywood hits, new generations, new generations philip glass, compilatie, celtic celebration, leaving on a jet plan, bflaminio, ronak bhatt, special purpose, alabama thunderpussy, dfree843, cdnnnow128, tag spam, va-we were first-180 hits in their original versions (2014), boot land, s.a. souvenirs, mugwart was a sludge",146
"reggae en espanol, reggae",146
"sertanejo, sertanejo pop, sertanejo universitario",145
"r&b, rap",145
nederpop,144
"2010s, 2020s, amazing, awful, black metal, christmas music, contemporary r&b, dance-pop, electropop, english, gay, hip hop, pop, reggea, teen pop, terrible, tropical house",143
"trap boricua, trap latino, trap triste, urbano latino",143
french pop,143
"italian hip hop, italian pop, rap napoletano",143
"british, classic pop and rock, reggaeton, scotland, scottish, trap, trap latino, uk",143
afrobeats,142
"reggaeton, latin urban, latin, trap latino, reggaeton, trap latino, urbano latino",142
urbano chileno,142
maskandi,142
"734011.jpg, i give up on the immature people in the tags here., ibiza, indie, infantil, instrumental, japan, jazz, john coltrane, josquin, jucanto, jungle, kinderchore, kinderliedjes kapiteinwinokio humo, kindly fix, kindly fixme, klaus baumgart, kpop, la grande sophie, label as artist, latin, leaving on a jet plan, legion of von, likedis auto, lil eazy-e, liturgic, live, liz, liz andrade, local music of iran, loosers that downvote fixmetags are ..., los 24 grandes exitos de la zarzuela, lounge, marilyn manson, mary j blige, mashup, meditation, mega, megafixme, mess, mess mess, mess mess mess, messy tags, meta artist, metal, michael jackson, mimicking birds, miroque, mohsen namjoo, montuno, more 70, musica, musical, my sharona, m‌ess, ncs, nederlands, new age, new generations, new generations philip glass, new wave, niroshima, nitzer ebb, no matter how long you keep voting down the fixme tag i will fight you. this should be fixed, no this is still a mess, nox, number 1, old skool of rock disc 1, oldest artist #1, oldest artist rowid, opera, orthodox, ost, papeete, pavarotti, piosenka poetycka muzyka autorska, please consider not using this for artist credits, please fix, please rename to [various artists], pop, pop-rock, popular, practically all these tags are fail, progressive trance, psychobilly, psytrance, punk, punk rock, put in brackets, pzzqxnzt6snn ekrngheoblbupu-, r&b, ragga, rap, razieq, reggae, release, rename into [various artists], rhythm del mundo, rock, rock and roll, rockabilly, ronak bhatt, s.a. souvenirs, shankar jaikishan, shine 4, shwetabh sucks, ska, soft rock, sonic seducer cold hands vi, soul cargo, special purpose, special purpose artist, sprechgesang, still a mess, stop using this for artist credits period!, stop using this for artist credits you are to lazy to look-up",141
"italian hip hop, italian pop, milan indie",141
schlager,140
polish pop,140
disco polo,140
"hungarian hip hop, hungarian pop, magyar trap",140
edm,139
latin pop,139
"dembow, rap dominicano",139
estonian hip hop,139
"dance, dance and electronica, dance-pop, edm, electro house, electronic, electropop, english, eurodance, festival progressive house, french house, future rave, house, progressive house, seen live, tech house",137
"classic swedish pop, swedish pop",137
"hip hop, latin urban, reggaeton, trap latino, latin, reggaeton, trap latino, urbano latino, latin",136
"swedish gangsta rap, swedish hip hop, swedish trap pop",136
"corrido, corridos tumbados, corridos belicos, musica mexicana, sierreno, banda, sad sierreno, electro corridos",136
"hip hop, pop rap, southern hip hop, trap",135
"israeli mediterranean, israeli pop, mizrahi",135
nz reggae,135
"contemporary r&b, englisch, english, hip hop, rap, relic inn, southern hip hop, trap, trap rap, usa",132
"turkish hip hop, turkish pop",131
"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino",131
"czech pop, czsk hip hop",131
"phonk, brazilian phonk",131
"latin, reggaeton, latin urban, trap latino, reggaeton, urbano latino",130
"pop, uk pop",130
"indie liguria, italian hip hop, italian pop, rap genovese, trap italiana",130
argentine rock,130
"arabic hip hop, french hip hop, pop urbaine",130
kizomba,130
"kizomba, kompa, kuduro, zouk",130
"mambo chileno, urbano chileno",129
"1 16 217528 150 13231 25894 39556 62358 75112 86121 96491 108473 122788 134485 144086 155376 166189 186497 197822, 101 moments in music, 2001 space odyssey, 2014, 2017, 21 throwback jams, 5099265803, 50cents, 80 s fresh new, [various artists], a crooner collection, absolute reggae, absolute voices, acoustic best, adam beyer, africa middle east, alirio diaz, alternative pop ballad club dance electro france chanson german trance hip-hop rnb rock music soul vocal house, ambient, andrade, andre powels, andrew york, apparently people are unable to comprehend what various artists is, armin van buuren, artist, backstreet boys, bareto, basque, beethoven, berlin school, bflaminio, billboard 1 hits, binaural beats, bioshock soundtrack, birthday, bluegrass, blues, blues rock, boot land, bravo hits, bravo hits 82, breakout artists, bring up on-par with the other spas and put this in brackets, calypso, candombe, casanovas, cdnnnow128, cdx, celtic celebration, celtic spirit vol 7, chicago, chillout, choral, christmas, classic, classical, classique, classwar karaoke, club, cobles, compilatie, compilation, country, country rock, dedicated to you vol 1, desperado, devotional, devotional buddhist chants, dfree843, die drei, do not using this for artist credits, don t rate the va artist, don t tag the va artist (yes i am aware of this irony), don t use this for artist credits you are to lazy to look-up",127
"norwegian hip hop, norwegian pop",127
"make. srsly, sunshine, tag spam, tagmess, tags, tagsmess, tango, tejano, the welcome committee, to the guy that keeps downvoting *every* tag on the va artist, trance, trikitixa, tunguska chillout grooves, ultimate love songs greatest love of all disc 1, ultimatecore, unknown, ussr ministry of culture chamber choir, va-we were first-180 hits in their original versions (2014), various, various artist",126
portuguese pop,126
"czsk hip hop, slovak trap",126
merengue,126
"finnish pop, iskelma",125
"desi pop, filmi, modern bollywood",124
"bangla pop, bollywood, desi, filmi, gaana, hindi pop, indian pop",124
"hip hop, pop rap",123
"agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario",122
rock,121
"bulgarian hip hop, bulgarian pop",121
"moroccan rap, moroccan pop, arabic hip hop",121
"bollywood, hindi pop, desi",121
reggaeton chileno,120
"canadian hip hop, canadian pop, hip hop, pop rap, rap",119
"country, country pop, racist",119
greek hip hop,119
"hungarian hip hop, hungarian pop",119
"hip hop, trap",119
rai,119
"+usa (new york:manhatten), 2010s, 2020s, alternative, alternative country, alternative pop, american, americana, art pop, ballad, chamber pop, dream pop, electronic, film soundtrack, hawaiian glam metal, indie pop, indie",118
"brazilian phonk, phonk",118
"electro latino, reggaeton, trap latino, urbano latino",118
"portuguese hip hop, kizomba",118
"dream-pop, karen, neo-psychedelia, next, pop, pop. alternative, question for the culture, remix, sad girl pop, sadcore, singer, singer-songwriter, trip hop, tumblr",117
deep house,117
hyperpop,117
"filmi, indian instrumental, modern bollywood",116
"drill francais, french hip hop, pop urbaine, rap francais, trap antillais",116
"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat",116
"reggaeton, latin",115
"4th gen k-pop, boy band, boy group, boysband, electropop, k-pop, noise music, pop rap, trap, trap edm",114
k-ballad,113
"trap latino, trap, dembow",113
"2010s, ag4, awful, blue-eyed soul, contemporary r&b, dance-pop, electro house, electropop, english, female vocals, nuno, pop, pop soul, r&b, trap, trap soul",112
"banda, baroque, british, british composer, classical, composer, corrido, corridos belicos, corridos tumbados, english, musica mexicana, opera, production music, sad sierreno, sierreno, uk",112
"urbano latino, trap latino, reggaeton",112
"2000s, 2010s, 2020s, actress, adult contemporary, alternative r&b, american, art pop, businesswoman, contemporary pop, contemporary r&b, country, cultural icon, dance, dance-pop, dancer, director, disco, electropop, funk, grammy winner, hard rock, hip hop, hip hop rnb and dance hall, house, icon, mbs-333, moombahton, nuno, philanthropist, pianist, pop, pop rap, pop rock, pop soul, progressive house, r&b, rap, rnb, singer-songwriter, singer",111
"songwriter, soul, vocalist",111
"pop, rap, dance, house, american, vocalist, singer-songwriter, hip hop, hard rock, funk, country, actress, soul, electropop, disco, rnb, pianist, americana, director, icon, 2000s, dance-pop, adult contemporary, pop rock, pop rap, progressive house, dancer, hip hop rnb and dance hall, pop soul, grammy winner, r&b, singer",111
"songwriter, contemporary r&b, 2010s, mbs-333, art pop, alternative r&b, moombahton, contemporary pop, 2020s, nuno, cultural icon, businesswoman, philanthropist",111
"boy band, pop",111
italian pop,111
"rock, progressive rock, psychedelia, psychedelic, psychedelic pop, psychedelic rock, psychedelic",111
"argentine hip hop, trap argentino",111
"soundtrack, classical, special purpose artist, fixme, ambient, bogus artist, software company as artist, meta artist, cotm, death metal, black metal, british, uk, composer, traditional, pop and chart, easy listening soundtracks and musicals, unknown, relaxation, bogus, fixme-probably not a real artist, 1 10 188043 183 17153 34783 54830 72970 97673 116825 128263 157073 171433, merge me, bing crosby fank sinatra louis armstorng nat king cole doris day, nursery rhymes, merge, rhymes, mergeme, stop merging crap so my tags get fucked up, fix, nursery rhymes collection, kids hut, kids songs, nursery rhymes playlist, wheels on the bus, johny johny yes papa, cleanup, fix tags, has german audiobooks, dumping ground, dont rate the [unknown] artist, lazy asses, fixme or cleanup, merge into [anonymous] or [traditional], fixme [spa] mess, spamess, test merging tags test, merge all the unrighteous fellows are all unpardonable!, special purpose",111
"kizomba, zouk",110
"icelandic hip hop, icelandic pop",109
"bachata, latin hip hop, latin pop, urbano latino",108
pop punk,108
"dakke dak, danish hip hop, danish pop",108
"turkce drill, turkish hip hop, turkish trap",107
songwriter,107
"1, 1960s, 60s, 80s, a filk artist, abbey road, adult alternative pop rock, art pop, art rock, baroque pop, bbc, beat, beat music, blues rock, boys band, british, british invasion, british psychedelia, british rhythm & blues, britpop, classic pop and rock, classic rock, classical pop, english, europe, europop, experimental, experimental rock, favoritos, film soundtrack, folk pop, folk rock, folk-rock, get back, hair metal, hard rock, heavy metal, indie rock, instrumental pop, liverpool, mainstream rock, male vocalists, merseybeat, one beatles, orchestral, orchestral pop, overrated, parlophone, pop, pop rock, pop-metal, pop-rock, pop",107
"arrocha, forro, sertanejo, sertanejo universitario",106
eletronic,106
shatta,105
"t-pop, thai indie pop",105
"reggaeton, trap latino, latin hip hop",105
"trap latino, reggaeton, urbano latino",105
hk-pop,104
"french hip hop, rap conscient",104
"balkan trap, bulgarian pop, bulgarian trap, chalga",104
french hip hop,104
"finnish pop, suomi rock",104
"alt-country, honky-tonk, country rock",103
"k-pop, k-pop boy group, pop",103
"atl hip hop, melodic rap, rap, trap",102
"banda, corrido, corrido tumbado, corridos belicos, corridos tumbados, dembow belico, electro corridos, musica mexicana, regional mexicano, sad sierreno",102
urbano espanol,102
traditional music,102
"pagode, samba",102
"alternative hip hop, boom bap, conscious hip hop, experimental hip hop, funk, gangsta rap, hardcore hip hop, hip hop, jazz rap, neo soul, political hip hop, pop, pop rap, r&b, rap, relic inn, trap, west coast hip hop",101
"cuarteto, cumbia",101
"lithuanian hip hop, lithuanian pop",101
"trap latino, dembow, reggaeton, trap",101
"latin, reggaeton, latin urban, trap latino, reggaeton, trap latino",100
"detroit hip hop, hip hop, rap",100
"french hip hop, old school rap francais, pop urbaine, rap conscient",100
bachata,100
"rap, hip hop, west coast hip hop, cloud rap",100
"banda, corrido, corridos belicos, corridos tumbados, dembow belico, electro corridos, musica mexicana, regional mexicano, sad sierreno, sierreno",99
"2000s, 2008 universal fire victim, 8 mile, 90s, american, boom bap, comedy rap, conscious hip hop, detroit, detroit hip hop, detroit hip-hop, eminem, english, gangsta rap, hardcore hip hop, hip hop, hip-hop, hiphop, horrorcore, kun, midwest hip hop, midwest hip-hop, pop and chart, pop rap, rap, rap god, rapper, relic inn, trap, turkish, us, v",99
argentine trap,99
"hungarian, hungary, magyar",99
"colombian pop, pop urbano",99
"hip hop, pop rap, trap",98
"panamanian pop, reggaeton, trap latino, urbano latino",98
musicals,98
"c-pop, mandopop, taiwan pop, zhongguo feng",98
"composer, film composer, filmi, kollywood, tamil dance, tamil hip hop, tamil pop, telugu pop, tollywood",98
"funk, funk rock",98
"latin, reggaeton, schlager, urbano latino",97
"schlager, reggaeton, latin, urbano latino",97
"cloud rap, emo rap, hip hop, horrorcore, memphis rap, phonk, punk rap, southern hip hop, trap, underground hip hop",97
"hip hop, southern hip hop, trap",97
"latin, reggaeton, trap latino, urbano latino",96
"sertanejo, sertanejo universitario",96
"cantopop, c-pop",96
"reggaeton chileno, chilean trap, chilean mambo, reggaeton",95
"folk pop, pop",95
japanese teen pop,95
afro house,95
"norwegian hip hop, norwegian pop, russelater",95
"2000s, 2010s, as jailed, chopped and screwed, contemporary r&b, criminal, gangsta rap, hip hop, hip hop rnb and dance hall, lil wayne, pop, pop rap, r&b, rap, rap rock, relic inn, rock, southern hip hop, trap",94
salsa,94
"trap latino, trap",94
"conscious hip hop, hip hop, pop rap, rap",93
"belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient",93
"2010s, 2020s, contemporary r&b, country, english, hip hop, pop rap, trap",92
"latin, latin trap, latin urban, reggaeton, trap latino, urbano latino",92
"agronejo, arrocha, musica tocantinense, sertanejo, sertanejo universitario",92
russian pop,92
magyar trap,92
candombe,92
"arrocha, sertanejo, sertanejo pop, sertanejo universitario",91
"pop urbaine, r&b francais",91
"italian hip hop, italian pop, rap genovese, trap italiana",91
pop urbaine,91
"dansk rap, dansktop, dansk pop",91
"chilean trap, reggaeton chileno, chilean mambo, mambo",91
"afrobeat, afrobeats, french r&b, pop urbaine, rumba congolaise, soukous",91
"english, hip hop, melodic rap, rap, relic inn, trap",90
"grime, uk hip hop",90
"polish pop, polish viral pop",90
"latin, reggaeton, latin urban, reggaeton, urbano latino",89
"garage, reino unido, rhythm & blues, rock, rock & roll, rock and roll, rock roll, singer songwriter, sunshine pop, the beatles-primal colours, the-beatles, tribute albums, uk, united kingdom",89
thai pop,89
gospel,89
"private school piano, amapiano, 3 step, gqom",89
"2010s, dance-pop, ed sheeran does not make sillyname tracks ಠ ಠ, folk, folk pop, gradually watermelon, guitarist, music for soccer moms, persian pop, pop, pop rap, pop soul, rapper, singer, singer-songwriter, singer",88
"songwriter, soft pop, uk",88
"alternative rock, ambient pop, art pop, big music, britannique, british, britpop, chapel, dream pop, english, indie pop, indie rock, parlophone, piano pop, piano rock, pop, pop rock, pop",88
"rock, post-britpop, rock, rock and indie, uk",88
"turkish alt pop, turkish rock",88
swedish trap pop,88
"polish drill, polish hip hop, polish trap",88
moroccan pop,87
"thai hip hop, thai trap",87
"hungarian hip hop, magyar trap",87
"banda, corrido, corrido tumbado, corridos belicos, corridos tumbados, electro corridos, musica mexicana, regional mexicano, sad sierreno, sierreno, trap latino",86
"anime, j-pop",86
arabic hip hop,86
future house,86
"v-pop, vietnamese singer-songwriter",86
"reggaeton chileno, chilean trap",86
"french rap, pop urbaine, french r&b",86
"corrido, corridos tumbados, corridos belicos, musica mexicana, sad sierreno, banda",86
"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino",85
"j-pop, japanese teen pop",85
"latin arena pop, latin pop, mexican pop",85
"alternative, atlantico, barranquilla, classic pop and rock, colombia, colombian, dance-pop, electropop, latin, latin pop, merengue, nuno, pop, pop rock, rock, spanish",85
"latin, reggaeton, trap latino",85
